bayyeessa itti nu dabaala Mee,1
Gaariidha halumaa kanaan itti fufaa,1
Guddoo dansaa,1
osoo addaa hin cittiin yoo barreesitaan gaariidha.,1
Gaaridha itti fufaa,1
Waan salphaa fakkaata garuu hojii guddaadha.,1
Ka'umsa bareedaadha itti fufaa!,1
bayyeessa,1
Hojii Sirrii hojjechuuf jalqabii Gaarii,1
baayyee Gaaridha,1
Iftoominna Gaariidha.,1
Iftoominna gaariidha,1
Adeemsa gaariidhaa jabaadhaa,1
Yaada gaariidha,1
Amma tana womaa hin jettan jabaadha,1
Kun waan gaariidha.,1
Hojii Gaariidha!,1
Eenyfaatu Sooroma bahee,1
Lakkoofsa addaatu jiramoo march 8 kan Isa kamiiti inni dubbattan kun?,1
Oddeeffannoo gaarii nuu kennittani galattomma garuu oso lenjii hubbano nuu kennittani,1
Odefannoon yero yeroon darbaa jiru gaarii dha.,1
Kunii yaada sirriidha ,1
Jabaadha.,1
Odeeffannoo fi Hubannoo nuf uumeera Galaatoma,1
Odeeffannoo gaariidha!,1
Odeeffannoo baay'ee gaariidha.,1
B/gaariidha Itti nuuf fufaa,1
Nuuf galatooma,1
Jirtu warra keenyaa,1
Jabaadhaa nutis isin faana jirra.,1
Sin moo,0
"Mindaa galiiwwan naannoo oromiyaa dabalaaf, kana caalaa sassaabbamaa",1
rakkoo loojistika haa beekamu malee beekamnee maal goona,1
Ni nyaattanii koottaa beekkamtiiin keessan kiisii nuuf hin seenu. .,0
Biiroo motora takka irraa dhabne,0
Baga waliin gammannee!! jabaadha!! Haa jabaannuu.,1
Beekamtiin kissii nuu galuu casaa bara2005 tiin kan jiruu wajiraa galii qofaa kanafuu waqnii haa faraaduu,0
Gurri harreefuu waa hin goone.,0
Beekamtii kennuun gatii maal qabaa miindaa hojjettoota maaf hin dabalamne  biiroolee kaniin gad akka ta'e argaa jirtu mitii ???,0
Ogeessonni teessoo irra taa'anii hojjetan osoo hin qabaatin bu'aa kana fidan osoo haalli mijateefi bu'aa isaa isinumti tilmaama mee warri.............,0
Baga waliin gamanne waaqa waliin kana caala jabaanne hojjachu qabna,1
Ni danda'amaa!,1
Itti muddii  !!,1
Hamileen garii ta'ee waajjiiri keenya waajjiira dhiheena hundeefameeyuu hin gahu ,0
Kun  illee  gaariidha!! Garuu  dandeetti  raawwachisummaa  ogeessa  sadarkaan  jiruu  foyyeessuu  fi  cimsuuf  yaaluun  isin  biratti  dagatameera.  ,0
Gaaffii hojjettoota waajiraalee galii keessa jiruuf osoo deebii hin kennin waatokko wonti nugammachiisu hin jiru,0
Galatniifi beekamtiin kenname kun zayita litira tokkollee bituu hin danda'u.,0
Baga gammaddan!,1
Beekkamtii kennuun bu'aa maalii qaba hojjettoonni sadarkaa gadiirra jiran miidhamaa jiruu.hojjettootaaf faayidaan addaa akka taasifamuuf hojjechuudha.,0
Jabaadhaa,1
Beekamtii keessan ofumaaf godhaa.,0
Hojiin akka hojjatamu osoo barbaaddanii rakkoo biroo keessa jiru akka furamu gootu silaa. Maal godha maqaa qofti akka itti jiraatu abbaatu beeka,0
Warri nu ajjeese isin warra gubbaati!,0
Biiroo Galii walitti qabaa Teessoo fi logistics homaa hin qabne safuu,0
Baga waliin Gamane!,1
Fayidaa hojjeeta ilaalaa demmun barbachisadha.,0
Kun waan gaarii fi amilee hojii kan nama keessati uumudha. Garuu akkuma kana utuu faayidaan hojjetaa ilaalamee gaariidha.,1
Bagaa waalin gamaane,1
Ittifufaa,1
Beekamtii kennuun waan garii ta'e rakkoo lojistikii fi caasaan mana hojjichaa itti yaadamu qaba.,1
What a joke...,0
Guure nyachisuf hojji wajirakana wan taheef galatonfatame male yom haqa fii galata hojjata eggame beeka miilan badiya deema oolla,0
Hojiin gara fuula duraatti hojjetamu akka milkaa'uuf waljajjabeessuu fi walgalateeffachuun barbaachisaadha garuu ,0
Bu'aa Rakkoo Keessa teenyee  itti dadhabne finef gatii isaaf Malu kennuun Barbachisaadha.,1
mindaa gad aana argachaa jira ,0
Xiqqoshee hin qaanoftanuu? ,0
Baay'ee gaariidha!,1
warraa abbaa gaara!! ,0
Excellence BGO,1
Kun gaariidha waan baayyeen irraa baratama!  ,1
Kana keessatti  gaheen BGO maali,1
Kun hojii gaarii dha cimee itti fufu qaba jabaadhuu itti mudda,1
Gibira  mootummaa kafaluun gaariidha,1
Waan gaariidha!,1
"MUU,anoo iskeelii mindaa moo sadarka guddinaa natti fakkaate,kkkkkk",0
Galiin sadarkaa kaffalaa gibiraa murteessu TGG ti moo kan ofii beeksise warra galmee qabatuuf?,1
Galatooma.,1
Baay'ee gaarii dha.,1
Keep up the good work!,1
Baay'ee gaariidha....!,1
Hubannoo gaariidha yadachiisni akkanaa Yeroo Yeroon itti fuufuu qaba,1
Mana fi gamoo kirreessun daldala yoo hin taane maali? Dogoogora keetii,1
Hubannichi bal'atee haa maxxanfamuu,1
Wel done,1
Eeyyeen BGO akkasitti cimaa hubannoo saba keessaniif kennaa.,1
Baay'ee gaariidha haala kanan itti fuf....,1
Thank you for the information.,1
Keep up it,1
Good job ,1
Good Job,1
"Eeyyeen,kun yaada gaariidha ittuma fufaa hubannoo dhimma taaksii fi gibiraa kennaa!",1
Jabaadha  Galiin misomaf!,1
Baay'ee gaariidha itti fufaa garuu hojjettoota w/ra gaaliif jijjiraan yeroo yeroon osoo hojjetamee gaarii ta'a ,1
Bayye gaariidha labsiiwwan biiroo galiiwwanii midiyaadhaan gadi lakkisuun kaffalaa gibiraatif hubannoo walfakkataa kennuudha kun cimee itti fufuu qabaa jabaadha galatomas.,1
"Hojjatan biroo kanaa Hundi kutaannon hojjachuu kaka'umsa qabaachu qaba, deegarsii hoggansa fi qoofa fudhattoota galii cimuu qaba",1
Hojii hojjetamuu qabuuf baajeta gahaa ramaduun hojii baajeta isaaf barbaachisuu wajjin kennanii bu'aa isaa madaalaa deemuu,1
Galii sasabamuu danda'uu dursa kennanii sassabu,1
Waliin taanee hojjechuu,1
(GIGO) garbage in garbage out. Poor salary poor revenue. Kanaafu humna namaa gutun dugugame akka galu hojjachu dha.,0
Humnii namaa fi loojistikii hojjii kamiifu barbaachiisadha loojistikii gahaa malee hojjachaa jiraa garagarumm,0
Magaala Caancoo irraatti  Galii sasabbii kuuffaamaa turee kan inveestimaantii ni jiraa wanta ta'eef  deegarsaa cimaa nuuf tasiisaa  (wanta addatuu jira),1
Toolee kun milkauuf logistikin gaa taeen degaramuufi seektari kun casan humana nama gaa tauufi kafaltin ,1
Caasaa mana hojiichaa fakkatuu dirirsuun hojjeechuu. ....keessattu sadarkaa godinalee,1
Wal-ta'anii Qajeelfama Irra Dhaabbatanii Waliin Dalaguu Qofaatuu Gal- mmaan Nama Ga'a Waaqa Kadhatanii.,1
Lojistikii lojistikii lojistikii keessattuu sadarkaa aanaa irratti,0
Humna namaa barbaachisu akkaataa caaseffaamaatiin ramadanii loogistikiin deeggaranii  hojittii galchaanii tokkummaan hojjachuu qofa,1
Galii murtaa'e harcaatii malee hordofuun akka galu gochuu dha.,1
Miira aantummaa ummataatiin miira xiiqiitiin sassaabnee biyya keenya bu'uura cimaarratti ijaarra,1
Leenjii kennuun hojjetaa hojiitti galchuu,1
Jabaatanii dalaguu qofa!,1
Humna nama  baajata gahaa ramaduu fi hojjetaa si'eessuu,1
Hanqina Humna namaa  guutuun galii hundumaa daguuganii  galchuu. Leenjii hojjetaaf kennuu.,1
Abbaa Taayitaa of irraa molqitaani?Biiroo jechi jedhu kun maalii? hiikni isa hoo? ,0
Wayyoo,0
Waa'ee hojjetaas maaltu jijjiirame?,1
Ok!Boss..!,1
Bsga Nagan garaa maqaa Dhaloota keessanitti deebtaan,0
Maalif ta.e  garu,0
"Miindaan Waajjira Galiiwwan naannoo Gambeelaatuu, Kan oromiyaa caala..., Maaliif garuu??",0
Him..,0
Waajjira maqaa qofaati isin dhugaa Rabbii!!,0
Maqaa jijjiiruu moo kaayyoo jijjiiruu wayyaree yaa jara keenyaa?,0
Jijjiramni  maqaa ilee rakkoo hin  qabu mirgii hojjeta hoo  akkami?,0
Masteshii(kollaan) isinii ergaa waa maxxansame,0
Jawwe Jabaadhu Sibuukke Jirra Nan Gatina,1
Guddoo isin jaalanna garuu caasaan Hojjataa guddoo aarseera,0
Ani bayy'ee gadaa hojjatootaa ,0
waggaa waggan Kaffaaltin Gibra ni dabala?  yoo daabalee haala kamiin,1
jajjabaachuu qaba.,1
jajjabaachuu qaba.,1
Ogeessamoo Leenjiin Hin Barbaachisumo?Akkam Dubbin Keessan kun.,0
Naannoon keenya,0
Haala kanaan galiin aannoon keenya maddisisuu danda'u duguuguun sassabuun ni danda'ama,0
Baay'ee gaarii dha,1
Kaayyoo fi toorri xiyyeeffanna ATGO adabuu osoo hin taane barsiisu ,1
Yaadi keessan gaariidhaa jechaa !  Bara 2010 Leenjjiin Ballan Magaalaa Baatuuti Hojjetaa Qindeessa Oppereshinii Galii tiif kennamee turuun isaa niyaadatama.Haata'u malee ;,1
Waan dansaa..,1
Hojjettanu bakka ta'u hin qabuu amoo ni badhasuu sirrumaa.,0
"Hojjeta badhaasun gaaridha, garuu hojimatni hojjeta hojjechiisu dura Abba taayitaa keessatti diriruu qaba",0
Jabaate itti fufu qaba,1
Waan gaariidha,1
Yeroo kaffalti ka'ame alaa kaffalchisuun seeraan alaa barsisaa jira hubadha,0
Gaariidha Magaaloonni fi Godiinaaleen duubaatti hafaan jabaachuu qabu,1
daldaalaa Amaala hin balleessina bara baran yeroo dheerresitaani..,0
Adabbiif saaxilamuun ad-maleedha,1
Hojiilee hojjetaman fi Qaamolee raawwatan akkaataa kanaan salphaatti  nu beeksisuun Gaariidha.....Kan Aanolee otoo dabaltanii kan jedhu yaada kooti,1
Dogoggorriillee hojii maata ta'uu hin danda'u ,0
Admalee!,0
Oduu dhisaatti software keessaan kana SIgtas afaan oromotti jijjirra,0
Qaamoleen hawaasaa hundii xiyyeeffannoon galii tumsuun barbaachiisaadha,1
Ololli sassaabbii gibiraa danquuf hojjetamu ,1
Deggarsa barbaadu Godinaaleen kun,1
Eeyyeen akkata  kanaan duubdeebii nuuf erguun keessaan waan gaariidhaa.,1
 Galatooma kominikeeshinii ATGO.,1
Xinxalii bifa kanaan dhiyachuun isaa  gaari ta'ee  itti  fufu qaba ,1
Galiin misoomaaf,1
Gaaridha .,1
Koreen dhaabbatee gadi bobba'e jedhamu kan gabaasa qofa funaanu osoo hin taane kan hojjatee hojii namatti agarsiisus ta'uu qaba.,0
kkkkkkkkkk kijiba guddaa kijibuun qaanii guddaadha productive area irratti xiyyeeffanne jechuun garuu yaada sirridha.,0
ATGO  sadarkaan jiruu hundii isaani kaffalaan  gibiraa addabbiif akkaa hin saxilamnee  godhuu qabnaa.,1
ashamaa,1
Asxaa abba tayitaa galiiwwanii oromiyaa,1
Gibiraa yeroon kaffaluun qaromiina isa jalqabaati.,1
qubee dogoggoruun hiikaa fi ergaa yaadichaa jijjiira ykn geeddara waan ta'eef. Galatoomaa.,1
Amanummaan gibiraa haa kaffalluu.,1
Gibiraa yeroon kafaluun Aada keenya,1
Kun cimee hojjatamuu qaba akkanaan oromiyaa guddifna santu seera.,1
Oromiyaan gargarsa qaama biraa irra akka hin eegganne oromoon hi,1
Mata'aa kennunis fudhachuunis yakka.,1
"Eyyee gibira yeroon kaffaluun baasii hin barbaachifne irraa nama hambisa,garuu hordoffiin qaama olii hanga gadii jiruu laafaadha keessattuu Finfinnee fi naannoo isheetti.",0
toole! Warra w/daldalaa. Gibira humnaa olii fiduun ummata hin darariinaa!!,0
Gibira fi taaksii kaffaluun dirqama lammii haabaanu,1
Gibira kaffaluun mallattoo qaroomnati! gibira maqsuun imoo biyaa ofi haatudha.,1
kaffalaan gibiraa hundii osoo adabbiif hin saxilamnee yeroon gibiraa haa kaffaluu,1
Hayyee Hayyee...,1
Gibira mootummaa kafaluun abshaalummaadha!!!!!,1
"Gaariidha, Lammiin Kamiyyu Dirqama Bahuu Qaba.Garuu wanti mata'aa (gubboo) jedhamu kuni gufuu tahaa jira",1
Gaaridha,1
galin mana qophese atg oromiyatin galiin kun yomiyuu galma hin gahuu ,0
Hojiin qindoomina kanaan dura ture lafaa waan tureef foyyaa'u qaba.,1
bu'aa homatu kan hin qabne ta'e waan mulatuf.,0
qaama raawwatuuf hubannoo uumuun barbaachisaadha jechuun gaariidha garuu enyu laataa ?,0
Dhiimmii caasaa dhiimaa yeeroon keenaamuu miitti,0
"Kun waan tokko tahee, Akkuma Software bulchiinsa gibiraa  (SIGTAS) galii idileef hojiirra oolfametti,Galiun Mana qopheessaafis softiware diriirsuu feesisa",1
Namati Tolaajabadha,1
Abbaan Taayitaa Galiiwwan Oromoyaa bara baran waan baay'ee  foyyeessa jira waan gariidha jabaadha,1
Baayyee gaariidha jabaadha wanti sirrachuu qabu ,1
Bareedaadha garuu Odaan Oromoo Inni dhuga qabeessi Bal'oo hin qabu!,1
Waan gaari yaade,1
Dhuguumatti waan hunda qabata.,1
"Best logo ever ,baayyee bareeda wanta haaraa akkasii barbaadna gaarii dha kanuuman itti fufaa",1
kun waan gaarii dafe hojira oluu qaba garuu dhugumaan gochaan ya mirkanna'uu sanyumaa fi Naannummaan yaa badu.,1
Baay'ee bareeda asxaan keenya haa mirkana'uu,1
decentralize also workers recruitment,1
This new logo is good you should have to improve service delivery by providing training for employ specially IT expert because technology is updated day to day,1
Yes it very beautiful logo,1
What a stupid and derty page it is?,0
amma hangi tokko deebie fakkaata,1
Dhugaa dha.,1
Obsaan aannan goromsaa dhuga jedhuumiree? obsaan eeggachuutu caala waan hin taane barreessurra.!!!!,1
Obsaan aannan goromsaa dhuga jedhuumiree? obsaan eeggachuutu caala waan hin taane barreessurra.!!!!,1
Nama kamuu kan nama ta'uu isaa mirkaneessuu fi eenyummaa isaa kabachiisu soba osoo hin taane dhugaadha ,0
adurree qofa sonba dura qabanii gowwoomsuu..........,0
sobduu,0
Kan muxannoo fi dandeetti qabu isiin kamii ATG Aanaa moo ATG  godinaatii hunduu faayyidaa dhunfaa keessaniif achii teesanii,0
baay'ee gammanneerra,1
Haqa qabeessa fi Si'ataa akka ta'uuf gaheen isaa olaanaa dha. ,1
Gaaridha itti dabalaa,1
Maree Bareedaa dha,1
Waan namaaf taa'u hojjechuun gaariidhaa,1
biyya guddiisuuf hojjechuu gaariidhaa,1
Qoosaa akkasii kan yeroon itti darbe waan ta'eef ofirraa dhiisaa kaa yaa jara keenya!!!!,0
Unlike,0
Galiin naannoo akkaataa Humna naannoon keenya qabdun hin sassabamne  ,0
caasaan hojjatamu kan qabu faayidaa mindaa qofa osoo  hin  akkaataa naannoon fedeeralaa ittin hojjatu bu'uura Osoo godhatan,0
dhuguma dubbachuuf waajira san keessa namini waa murteessuu danda'u hin jiru.,0
afuuffee wayi afuuftee hin dadhabdu afuufi dubbaattanii hin dadhabdani ammas otuma dubbattanii haftu,0
komii dhagessani hojii qabatamaa hojjetaa mirga isaa eegsisise maal hojjettan? Dhugaadha mindaan keessan gara  gaheera.quufaan beelaa'afi hinbeeku,0
Isin waan hojjataan Jedhu  hubachaa hin jirtan ,0
Nama maallaqaa nyaachuuf  achii teessaan malee hojiidhaf miti,0
Hojataan ATGO garan gubate jira waaj.gadhisa jira rakateera kijiba kesaniin jechudha amaa waan akana dhagahu hin fedhu kanaaf sila calistani gaariidha,0
such people and question do not replace us  we do 4our society till end...,0
such people and question do not replace us  we do 4our society till end...,0
Dhugaadha Loogoon manicha ibsu fi yeroo waliin deemu barbaachisaadha.,1
isiin afaan qabna jeetani wa'ee Asxaa dubbatan rakko hojjata keessanitu hiku hin dandeenye garee ,0
faaydaa gibiraa waan taheef,1
woow namatti tola. ,1
gaafii hojjatoota deebisuu osoo qabuu aji'aba tanna baraan???,0
kkkkkkk,0
baranammoo aasxaa qabata godhadhaatii ittiin oduu keessan afuufaa afuuffee duuwwaadha isin,0
kan dursu adda baafadha,0
waan silaa dursaa hojachuu qabdaan hin hojaanee..........,0
Waan barbaaddan jijjiiraa garuu gaafii bara dheeraa hojjataan keessan gaafachaa ture san deebistanii?Raajii keessan!,0
Waan barbaaddan jijjiiraa garuu gaafii bara dheeraa hojjataan keessan gaafachaa ture san deebistanii?Raajii keessan!,0
Kkkkkkkkkkk warra Asxaa!!!!,0
Labsii caffen isinif ragasissee ille hojittii.hikachuu hin.dandessaan mal abdii qabna isin irra,0
Loogoo/Asxaa maal jechudha xiqole hin saalfatani mirga hojata dursa moo asxadha ,0
fayyida Hojataa ATGO hanga hin kabachiifinet Wa'ee Asxa hasahun (dubbachun) faayida hin qabu,0
wal gargaaruun aadaaf duudhaa keenya!!!!,1
Amen bara mirgi hojjattoota ATGO itti kabajamuu fi bara hojjataan illee itti yaadatamee mirgaa fi leenjii illee itti fudatu nuuf haa ta'u.!!!,0
Dachaan isiin kaffalchifna! Akkamitti akka hojjanu ni agartan! Walumaan jirra!,0
Kkkkk iccitiin milkaa'ina keenyaa cimina hojjattoota keenyaatiin malee cimina hoggansaatiin miti.,0
milkaa'ina guddaa fiduuf nu qopheessa .,1
natti hin fakkaannee akka jechaa oggaana kanaatti! ,0
malooo afaanumattii him ulfaatu  jechii kun hoggansa fayyida hojjeta eguu kana abbey yarabbii sober ganfaa basuu kana nu agarsiftee safuu,0
Iccitiin Milkaa'inaa cimina hoggansaa qofa osoo hin taane ciminaa fi kutannoo hojjattoota hundaati. ,0
"Hojiif akka toluuf hidhannoo hoggansa ciimsuuf kallattiin gaariin yoo kennamme illee, fayidaa hojjetaan waanti walqabatu yaada Suspense nama godhotu jira",0
Kijibdootaa maalii issiinii taanaa reee ammaa ergamtootaa wayyannee gubattanileee dhimmii oromoo innuumaa sirrayyaa yoo turrellee ok,0
kkkkkkk.....kkkkkkk...kkkkkk....kkkkk waanuma ofiif hunda xummurtan fakkaata!!!  ,0
Nama akkana ATGO kessa argamuun isa baay'ee nama dinqisisaa! Jabaadhu!,1
Baay'ee gaarii dha. Kun jajjabeeffamuu qaba. Garuu Ogeessota TQO irratti hojjatan hunda hirmaachisee yoo jedhe gaarii dha.,1
gariidha;garuu tot kan hin qabne akka tot qabutti hojjetaa kan ji'ota muraasa akka herreguu danda'uuttis hojjedha,1
"Jabadhaa,hojiittii jijjiraa",1
baayyee gaariidha ammallee ,1
Dhugaa dubbachuudhaaf mucaan kun badhaafamuu qaba.,1
I think kun jalqabe natii fakkata kalaqini kun itti fuufaa,1
Gammanneerra.Waanuma takkaan gaddine malee. ishii isinuu beektu siniif dhiifne.....,1
"Tattaaffiin ATGO gochaa jiru Sirni Gibiraa keenyaa karaa ammayyaa'aa,Haqa qabeessa fi Si'ataa akka ta'uuf gaheen isaa olaanaa dha. ",1
Gaaridha,1
Maree Bareedaa ture,1
Waan namaaf taa'u bira hin taa'anuu! ,1
Galiin misoomaaf.....,1
Akkati hubannoo uumun gaariidha.garuu yeroo barreesitan dogongora qubee ofirraa eegaa.,1
Gaaridha ammas itti daddabalaatii waan haaraa jiru beeksisaa. ,1
dhugaa dha jabaadhaa,1
Ergaa kana hawaasa kaffala gibiraaf dabarsuun gahee lammummati,1
Hubbanan gara Adda  Addaatiin kenamuun kun baay'ee gaariidha. galatoma,1
gibira dhoksuun gufuu guddinaat.,1
Leeyyoo guddaa,0
Qaaniidha!!,0
ibsa  bal'aa Osoo into kennitan gaariidha.,1
jalla'eerra,1
